Gain,ATIME_Register,Time_ms,Clear,Red,Green,Blue
1x,255,2.4,7,2,2,2
1x,250,14.399999999999999,35,11,13,12
1x,245,26.4,68,20,25,22
1x,240,38.4,99,30,37,32
1x,235,50.4,128,39,48,42
1x,230,62.4,159,48,59,51
1x,225,74.39999999999999,193,58,72,62
1x,220,86.39999999999999,222,67,83,72
1x,215,98.39999999999999,253,76,94,82
1x,210,110.39999999999999,285,85,106,92
1x,205,122.39999999999999,316,95,117,102
1x,200,134.4,346,104,129,112
1x,195,146.4,376,113,140,122
1x,190,158.4,407,122,151,131
1x,185,170.4,408,122,151,132
1x,180,182.4,468,140,174,151
1x,175,194.4,500,150,185,161
1x,170,206.4,500,150,185,161
1x,165,218.4,563,169,209,182
1x,160,230.39999999999998,590,177,219,191
1x,155,242.39999999999998,591,177,220,191
1x,150,254.39999999999998,654,196,243,212
1x,145,266.4,653,196,242,211
1x,140,278.4,715,214,265,231
1x,135,290.4,713,214,265,231
1x,130,302.4,745,224,277,241
1x,125,314.4,776,233,288,251
1x,120,326.4,809,243,300,261
1x,115,338.4,868,260,322,281
1x,110,350.4,868,260,322,281
1x,105,362.4,900,270,334,291
1x,100,374.4,964,289,358,311
1x,95,386.4,960,288,357,310
1x,90,398.4,990,297,368,320
1x,85,410.4,1054,316,392,341
1x,80,422.4,1054,316,391,341
1x,75,434.4,1085,326,403,351
1x,70,446.4,1148,344,426,371
1x,65,458.4,1147,344,426,371
1x,60,470.4,1177,353,437,381
1x,55,482.4,1209,363,449,391
1x,50,494.4,1271,381,472,411
1x,45,506.4,1271,381,472,411
1x,40,518.4,1301,390,483,421
1x,35,530.4,1333,400,495,431
1x,30,542.4,1393,418,517,450
1x,25,554.4,1393,418,517,451
1x,20,566.4,1425,427,529,461
1x,15,578.4,1456,437,541,471
1x,10,590.4,1487,446,552,481
1x,5,602.4,1547,464,575,500
1x,0,614.4,1547,464,575,500
4x,255,2.4,1547,464,575,500
4x,250,14.399999999999999,1547,464,575,500
4x,245,26.4,274,81,102,88
4x,240,38.4,387,116,144,124
4x,235,50.4,511,153,190,164
4x,230,62.4,633,190,237,204
4x,225,74.39999999999999,750,224,279,243
4x,220,86.39999999999999,876,262,326,282
4x,215,98.39999999999999,998,298,371,321
4x,210,110.39999999999999,1118,334,414,357
4x,205,122.39999999999999,1234,369,459,397
4x,200,134.4,1356,405,505,436
4x,195,146.4,1482,443,552,476
4x,190,158.4,1480,442,551,476
4x,185,170.4,1598,478,595,514
4x,180,182.4,1850,553,689,595
4x,175,194.4,1968,588,733,633
4x,170,206.4,1967,588,732,632
4x,165,218.4,2204,659,820,708
4x,160,230.39999999999998,2210,661,822,710
4x,155,242.39999999999998,2455,734,914,789
4x,150,254.39999999999998,2452,733,913,788
4x,145,266.4,2571,769,957,826
4x,140,278.4,2701,807,1005,868
4x,135,290.4,2934,877,1092,943
4x,130,302.4,2935,878,1093,944
4x,125,314.4,3183,952,1185,1023
4x,120,326.4,3176,950,1182,1021
4x,115,338.4,3309,989,1231,1101
4x,110,350.4,3427,1025,1276,1102
4x,105,362.4,3543,1059,1319,1139
4x,100,374.4,3780,1130,1407,1215
4x,95,386.4,3787,1132,1409,1217
4x,90,398.4,3914,1170,1457,1258
4x,85,410.4,4153,1241,1546,1335
4x,80,422.4,4147,1240,1543,1333
4x,75,434.4,4276,1278,1592,1375
4x,70,446.4,4388,1312,1633,1411
4x,65,458.4,4635,1386,1725,1490
4x,60,470.4,4636,1386,1726,1490
4x,55,482.4,4760,1423,1772,1530
4x,50,494.4,4884,1460,1818,1570
4x,45,506.4,5123,1532,1907,1647
4x,40,518.4,5123,1532,1907,1647
4x,35,530.4,5250,1570,1954,1687
4x,30,542.4,5369,1605,1998,1725
